thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
453,451,413,511,321,919
453,450,413,511,322,919
453,449,413,511,323,919
453,451,413,510,321,919
454,449,414,511,322,919
453,449,413,511,322,919
453,450,415,511,321,918
454,450,413,510,321,919
453,451,414,511,321,917
455,450,414,510,321,920
453,450,414,511,322,916
454,450,414,511,322,919
454,451,414,510,322,919
453,450,414,510,321,918
453,449,414,510,322,919
454,450,414,511,322,919
453,449,412,511,321,918
454,450,414,510,321,917
453,450,413,511,321,919
454,449,414,510,322,919
453,450,413,510,322,919
453,448,413,510,322,919
454,449,413,511,321,918
454,450,414,511,322,919
454,450,414,510,323,918
454,450,414,511,322,918
454,451,414,511,321,919
454,450,413,511,322,918
454,451,413,511,322,919
454,451,414,511,323,919
454,451,413,510,321,918
453,450,413,511,322,920
454,451,414,511,322,918
455,451,413,510,322,919
454,451,413,510,321,920
454,451,412,511,322,918
454,450,414,508,323,919
454,450,414,510,321,919
454,450,413,511,319,919
454,449,414,511,321,919
453,449,414,511,320,920
453,450,415,511,319,919
455,450,414,510,321,918
455,450,415,511,321,919
453,450,414,511,321,919
454,450,415,511,321,918
454,450,414,510,319,918
455,450,414,511,320,920
454,451,414,511,320,920
454,451,414,511,321,919
455,451,414,510,320,919
454,451,413,512,320,919
455,451,414,511,321,919
454,452,415,511,320,919
455,452,414,511,321,919
455,451,414,510,321,920
455,450,414,512,320,917
455,450,414,508,320,920
454,451,415,511,320,919
455,451,415,511,320,920
454,452,415,509,320,918
454,451,414,511,320,918
454,451,414,510,321,919
455,451,415,511,320,920
455,452,414,511,320,918
454,452,414,511,319,916
455,452,414,511,319,918
456,451,414,510,319,919
455,451,415,511,320,920
455,452,414,510,318,919
454,451,414,512,320,919
456,451,413,511,319,919
454,451,414,511,319,919
456,451,414,511,319,919
455,451,413,510,319,918
455,452,413,511,319,919
456,452,414,511,320,919
455,452,415,510,320,919
455,452,414,511,319,918
456,453,414,511,320,919
455,452,415,511,320,918
455,454,414,511,320,918
455,453,414,511,320,920
456,452,414,511,320,919
456,452,414,512,321,920
455,454,414,511,320,919
455,453,414,511,321,920
455,454,415,511,320,919
455,453,415,511,320,920
455,453,414,511,321,919
456,454,414,511,321,920
455,453,414,511,320,919
455,452,413,512,321,920
457,453,413,511,319,919
455,453,414,512,321,920
456,453,415,511,321,919
455,454,414,511,320,923
455,452,414,510,321,919
455,453,414,511,320,919
454,454,414,511,320,920
455,454,413,511,321,919
455,452,414,510,321,918
455,453,414,510,321,919
454,452,413,511,321,920
454,452,413,511,321,920
455,451,414,511,321,921
455,452,413,511,322,920
455,452,413,510,322,920
455,452,415,511,321,919
454,451,413,511,321,919
455,451,414,511,321,920
454,451,413,510,321,920
454,450,413,510,322,920
455,452,413,511,321,920
455,451,414,509,322,919
455,451,414,511,322,919
455,452,414,511,322,919
456,451,414,510,322,919
455,450,414,509,323,920
455,452,413,510,322,920
455,451,413,509,322,922
455,450,413,509,322,918
455,451,413,509,321,919
455,452,413,508,321,920
454,451,413,509,320,920
455,451,413,509,321,919
455,451,413,509,322,918
455,452,412,509,320,919
455,451,413,509,321,920
455,452,413,508,321,919
454,451,412,510,322,919
455,450,412,510,321,918
454,449,413,509,322,916
454,449,413,509,322,919
454,450,412,508,321,919
454,451,412,508,321,919
453,450,413,508,321,917
454,450,413,508,321,920
454,450,413,508,320,919
454,450,412,507,321,918
453,450,412,508,321,918
454,450,412,507,321,919
453,450,411,508,320,917
454,450,411,507,319,918
454,450,411,508,320,919
454,450,410,508,319,919
454,450,411,508,320,917
454,451,411,508,319,919
455,451,410,509,319,919
454,451,409,508,321,918
455,451,409,508,320,919
455,452,409,509,319,919
455,451,409,508,319,918
455,452,410,509,320,918
455,452,410,509,320,920
455,452,411,509,319,918
454,453,409,509,320,919
455,452,410,509,319,920
455,452,410,508,320,919
454,452,410,509,318,920
454,452,410,509,319,919
454,453,411,509,319,919
455,452,410,508,320,918
454,452,410,509,319,918
455,451,411,508,319,919
455,451,410,510,320,919
455,451,410,509,319,919
456,451,410,509,318,918
455,451,410,509,319,919
454,452,411,510,319,919
455,452,410,510,319,919
454,452,409,510,318,919
456,452,409,509,319,919
455,453,411,511,319,920
454,453,410,510,321,919
455,453,409,510,319,918
454,454,410,510,318,919
455,454,410,510,319,918
455,453,411,510,319,918
456,453,410,509,319,919
455,454,410,510,319,919
455,453,410,510,318,918
455,453,410,509,318,919
455,452,410,510,318,919
454,453,410,509,319,920
455,453,409,510,318,920
455,454,410,510,319,920
455,453,410,509,318,919
455,453,410,509,319,921
455,454,410,509,317,920
455,454,410,510,319,921
455,453,410,509,319,920
455,453,410,509,319,920
454,454,410,509,318,917
454,453,410,509,318,919
456,453,411,508,319,919
454,452,410,509,318,920
455,454,410,508,319,920
454,453,410,508,319,921
454,452,409,508,317,919
454,452,409,508,317,919
453,452,409,508,318,919
454,452,408,508,316,919
454,453,409,507,316,920
454,452,409,507,316,919
453,451,409,507,315,919
453,451,409,507,317,919
453,450,409,507,317,918
452,451,411,508,317,920
453,451,410,507,317,919
453,450,409,508,316,918
453,450,410,508,317,921
453,451,409,507,317,919
452,451,410,508,318,919
453,450,410,508,317,919
453,450,410,507,316,919
453,450,410,507,316,917
452,450,409,507,315,920
453,450,410,508,315,919
453,450,409,507,315,919
453,450,411,507,315,918
453,450,410,506,315,920
453,450,410,506,315,919
453,449,410,507,315,918
453,450,411,507,316,918
454,450,410,508,316,919
453,449,410,507,315,921
454,450,411,507,316,920
454,449,411,508,316,920
454,449,411,508,316,921
454,450,411,508,315,920
454,450,411,508,316,915
454,449,410,508,317,918
453,449,410,508,317,919
454,450,411,508,317,919
454,449,411,508,317,919
454,449,411,508,316,919
453,450,412,507,317,918
453,450,413,508,317,918
454,450,411,507,317,918
452,450,411,508,317,920
453,451,411,508,315,919
453,451,411,508,316,919
453,451,412,508,316,919
454,452,411,509,317,919
454,451,411,509,318,919
453,451,412,509,318,918
454,452,411,509,316,920
454,451,411,509,317,920
453,451,411,508,317,919
453,452,411,509,317,919
453,451,411,509,317,918
454,450,411,508,315,919
454,452,410,508,317,919
454,451,411,508,317,919
454,451,410,508,317,919
454,451,411,507,317,919
454,452,411,507,317,919
453,451,411,507,317,919
454,452,411,508,316,920
454,452,410,508,316,919
454,452,411,508,317,919
455,452,409,508,317,919
454,452,411,508,316,920
454,452,410,508,317,919
454,452,411,507,317,920
454,452,410,508,317,919
455,452,411,508,317,921
454,452,410,508,317,919
454,451,410,509,317,918
454,451,411,508,317,919
454,451,410,507,317,918
454,452,410,509,318,920
454,452,411,508,318,918
455,452,411,508,317,918
455,452,411,508,316,919
454,452,413,508,315,920
455,453,412,508,317,919
454,452,412,508,315,920
455,451,412,507,315,920
454,451,412,508,314,920
456,452,412,508,313,920
455,452,411,509,314,919
455,451,412,508,313,919
455,450,412,509,314,918
455,451,411,508,313,919
455,451,411,509,314,921
455,452,412,509,313,919
455,451,412,508,312,919
455,452,411,509,313,920
