thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
660,482,617,656,398,994
659,483,616,655,397,994
659,483,616,655,397,994
658,482,615,655,399,995
658,482,608,655,398,994
658,482,610,656,398,994
658,482,609,655,398,995
659,482,609,655,398,993
659,483,610,654,398,994
659,482,610,654,397,994
659,482,610,655,398,993
659,482,609,655,398,993
657,482,609,654,397,991
656,483,609,652,395,990
656,481,610,652,396,989
654,480,606,651,395,987
652,479,607,649,394,984
652,480,607,648,393,985
653,480,608,650,394,986
653,481,607,649,394,984
653,480,607,649,394,984
653,480,607,650,394,986
654,481,608,650,394,986
654,481,609,650,395,986
654,481,608,650,394,986
652,481,608,649,394,984
652,480,606,649,393,982
653,480,607,648,393,983
653,479,605,648,393,981
649,477,603,643,392,976
647,476,602,643,391,975
652,480,607,649,394,985
654,481,608,650,395,986
654,480,609,649,395,984
653,479,608,650,394,985
655,480,608,651,394,986
655,479,609,650,394,986
655,479,609,651,394,986
655,479,609,652,395,985
656,479,611,652,396,987
656,480,610,652,395,988
657,480,611,652,396,988
656,480,610,652,396,988
655,481,611,653,395,988
655,481,610,653,396,987
655,482,611,652,395,987
656,482,611,653,396,988
656,482,611,654,396,989
656,482,612,654,397,989
656,483,612,654,396,989
655,483,611,654,396,988
657,483,612,655,397,990
655,484,612,655,397,990
655,483,612,654,395,988
655,483,612,655,396,989
652,481,611,651,394,984
652,482,611,653,396,988
655,483,612,655,395,987
653,483,611,654,396,986
653,484,613,653,395,988
653,482,611,654,396,990
655,485,613,656,396,991
656,486,614,658,397,994
656,486,615,657,397,992
656,486,615,656,395,991
655,485,614,656,397,990
653,483,613,655,394,987
652,484,612,655,395,989
654,485,614,655,395,988
652,483,612,653,394,987
651,483,611,652,394,986
653,484,614,654,394,985
651,482,610,651,393,984
651,483,613,653,395,985
655,485,613,655,396,988
655,484,613,655,395,989
656,486,612,652,394,979
653,483,612,652,394,986
654,485,615,655,396,985
653,485,613,654,395,985
653,484,611,651,393,983
650,483,611,652,394,986
653,485,615,654,396,988
654,486,614,655,395,988
654,485,614,654,395,989
653,485,615,655,395,990
654,485,614,654,394,989
653,484,615,655,393,990
655,485,615,655,393,991
654,485,616,655,392,989
654,485,614,655,392,990
654,485,615,654,392,990
654,485,614,653,392,988
653,485,614,653,392,988
653,485,614,652,392,986
654,485,614,653,392,988
654,485,613,652,392,988
654,486,613,651,390,986
652,484,610,650,391,982
650,483,609,648,389,981
651,483,610,649,390,983
651,484,610,650,390,983
652,483,611,649,389,983
652,484,611,649,389,982
651,484,610,648,388,983
652,483,611,648,388,982
653,484,610,648,388,982
653,484,611,649,389,982
