thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
238,259,340,454,163,568
237,259,338,452,162,568
236,258,336,451,162,565
235,258,336,452,162,565
234,256,334,448,160,559
231,253,330,441,157,552
212,234,324,431,150,531
217,249,323,427,151,546
221,250,325,437,156,547
227,249,324,435,155,542
222,239,314,423,152,537
224,245,320,430,154,537
223,243,319,429,153,537
224,244,319,428,157,552
227,245,317,427,153,534
221,244,318,420,151,537
226,247,330,444,160,558
232,254,331,445,161,562
233,254,333,448,160,562
233,255,333,446,160,560
233,254,331,446,160,557
233,254,333,445,160,559
235,255,331,445,160,556
233,254,331,444,160,557
232,253,330,444,159,556
231,252,330,442,159,553
231,252,327,441,158,554
230,253,328,440,157,551
229,250,328,438,158,549
229,250,325,435,155,544
223,244,317,424,158,554
227,246,314,426,154,538
226,244,311,424,158,549
226,245,324,440,156,550
228,252,328,440,157,552
231,252,329,441,159,555
232,254,330,441,158,554
231,252,327,440,157,550
229,253,330,442,159,557
232,252,329,441,158,550
229,252,331,444,159,558
232,254,330,442,158,554
231,251,326,438,157,551
227,247,323,434,155,548
225,249,326,438,157,552
231,252,332,444,159,558
232,253,331,444,159,558
232,253,331,444,159,558
235,258,336,452,161,567
236,257,336,451,161,567
236,256,336,451,161,567
235,258,336,451,162,567
235,257,337,451,161,567
235,257,336,451,161,566
235,258,336,451,162,568
234,258,337,450,161,567
236,258,336,451,162,566
235,257,333,451,161,566
235,257,335,450,160,565
235,257,335,450,159,565
235,257,336,449,160,565
236,259,334,451,161,567
235,258,336,451,162,566
235,257,335,451,161,567
236,258,336,451,161,565
235,256,335,450,160,566
235,257,336,450,161,565
234,257,335,449,161,563
235,257,335,450,160,563
234,257,335,449,161,562
233,258,334,449,160,563
234,256,334,448,160,561
235,256,335,447,159,560
233,256,333,447,160,562
233,255,333,447,160,561
233,256,333,447,159,561
233,256,333,445,159,561
233,255,333,446,159,559
232,254,332,445,159,557
232,254,331,444,158,557
230,254,330,443,158,556
231,253,330,443,157,556
230,251,327,440,156,552
228,251,327,440,156,551
228,249,325,435,155,546
225,244,315,426,154,537
237,259,339,453,161,570
237,259,337,453,162,569
236,259,337,452,162,568
235,257,337,452,162,567
235,257,335,449,161,567
235,257,335,450,161,565
234,257,334,449,160,564
233,255,334,448,160,561
232,255,333,446,159,559
231,252,330,443,156,558
231,252,329,440,156,526
219,237,313,419,162,572
237,259,339,454,162,570
236,258,338,452,162,568
234,258,335,450,162,567
234,256,336,450,161,566
234,256,335,449,160,565
233,255,333,446,160,563
232,255,333,446,160,562
231,253,331,444,160,560
230,252,330,440,157,545
221,245,327,449,160,565
234,254,332,450,161,564
233,256,333,446,160,563
232,254,331,444,159,560
230,253,329,440,157,555
227,246,301,422,156,551
229,249,325,438,156,553
230,251,329,439,157,552
223,244,321,431,154,548
226,249,326,438,157,553
232,254,331,440,157,554
228,250,325,436,156,546
220,244,320,431,153,544
225,246,321,430,153,542
226,248,323,434,155,543
226,249,325,436,156,546
227,246,325,435,155,547
227,248,324,434,154,547
225,247,323,433,154,546
225,246,322,431,154,542
226,245,320,425,151,530
230,251,332,442,159,558
228,246,330,442,158,558
230,248,331,444,159,558
233,253,331,443,158,558
230,251,329,443,158,558
233,253,331,444,157,558
230,250,331,442,157,557
232,253,331,443,157,559
231,250,330,441,157,555
228,248,329,439,158,556
232,253,333,446,159,561
233,254,333,447,159,561
232,254,332,444,159,559
233,252,330,442,157,554
230,248,328,446,158,560
233,254,334,447,158,561
233,254,334,447,158,560
230,250,331,449,160,563
234,255,334,448,159,563
234,253,333,447,159,561
232,254,332,445,159,560
231,253,331,444,158,558
231,251,332,443,158,559
232,253,333,445,159,559
233,254,333,446,158,559
231,252,328,438,156,575
238,260,341,457,162,573
238,258,340,455,162,572
236,259,339,454,161,570
238,256,337,453,161,569
237,257,337,452,160,569
236,257,337,452,160,566
236,256,336,451,161,567
236,256,334,450,160,565
235,255,334,449,159,564
234,254,333,447,159,564
233,253,331,443,157,557
226,247,325,436,155,551
228,248,324,434,151,527
222,238,311,426,152,542
227,247,315,422,151,538
226,245,319,429,155,548
227,245,324,434,154,548
228,247,325,436,156,551
228,248,325,437,155,549
227,248,324,436,155,548
229,247,324,434,154,546
228,247,323,434,154,545
225,245,321,434,154,548
227,247,323,433,155,544
229,248,325,436,156,549
228,249,326,438,156,550
229,248,323,437,156,549
227,245,324,436,154,547
227,245,321,427,154,544
233,252,330,444,158,559
232,251,330,443,158,559
232,251,330,441,158,557
232,252,324,441,157,555
232,250,325,441,157,555
